category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Camera,₹699,CM sportcam sporte action waterproof 2 inch screen Sports and Action Camera,3.7,21 Ratings & 3 Reviews,88% off,"₹6,071",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:51.985527
Camera,"₹22,999",Nikon Coolpix W300,4.8,5 Ratings & 0 Reviews,0,0,Effective Pixels: 16 MPOptical Zoom: 5X | Digital Zoom: 10xDisplay Size: 3.2As Per Nikon India Terms and Conditions,1,2019-08-14 21:17:51.989239
Camera,"₹8,495",Canon IXUS 190,4,142 Ratings & 28 Reviews,0,0,Effective Pixels: 20 MPOptical Zoom: 10x | Digital Zoom: 10xAuto FocusDisplay Size: 2.7 inchProduct is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.,1,2019-08-14 21:17:51.991236
Camera,₹670,CALLIE sports &Action acmera 1080P Sports and Action Camera,3.6,8 Ratings & 1 Reviews,77% off,"₹2,999",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:51.995380
Camera,"₹6,499",EKEN Action Camera H9R3D Sports and Action Camera,4,3 Ratings & 0 Reviews,40% off,"₹11,000",Effective Pixels: 20 MP4Knone,0,2019-08-14 21:17:51.996378
Camera,"₹1,29,990",Sony Alpha 7R II Full Frame Mirrorless Camera Body Only,0,0,15% off,"₹1,53,030","Effective Pixels: 42.4 MPSensor Type: CMOSWiFi AvailableXAVC S, AVCHD, MP42 Years Product Summary and 1 Year Additional Warranty on Alpha Community Registration",1,2019-08-14 21:17:52.000441
Camera,"₹6,495",Fujifilm Instax Mini 9 Camera With Leather Bag and 20x Film Sheet - Ice Blue Instant Camera,0,0,23% off,"₹8,495",0,1,2019-08-14 21:17:52.004437
Camera,"₹83,999",Fujifilm X Series X-T30 Mirrorless Camera Body with 18 - 55 mm Lens F2.8 - 4 R LM OIS,0,0,11% off,"₹94,999",Effective Pixels: 26.1 MPSensor Type: CMOSWiFi Available4K2 Years Domestic Which Includes 1 Year International,1,2019-08-14 21:17:52.008431
Camera,"₹23,999",Nikon Coolpix W300,3.3,6 Ratings & 2 Reviews,0,0,Effective Pixels: 16 MPOptical Zoom: 5X | Digital Zoom: 10xDisplay Size: 3.2Official Nikon India 2 Year Warranty,1,2019-08-14 21:17:52.014063
Camera,"₹94,990",Canon RP Mirrorless Camera Body Only,5,3 Ratings & 1 Reviews,14% off,"₹1,10,495",Effective Pixels: 26.2 MPSensor Type: CMOSWiFi Available4K2 Years Warranty,1,2019-08-14 21:17:52.019282
Camera,₹670,ALONZO Full HD 1080p 12mp Action Camera Go Pro Style Sports and Action Camera,3.6,10 Ratings & 0 Reviews,66% off,"₹1,999",Effective Pixels: 12 MPHDNA,0,2019-08-14 21:17:52.021278
